CUSTOMER_ADDRESS_ID,POSTCODE
VU72,3210
WF74,2044
ZA32,2090
KR93,3961
MV48,4527
JQ20,2300
WL11,2191
NL68,1366
PB76,3935
VK33,5206
FR17,3245
RZ08,3323
LX21,4615
FU87,1293
AJ82,1257
JD40,3942
ID72,3270
BG94,1808
UN69,2645
QN74,5143
WE74,3250
KV68,4243
ZD40,3818
DO27,2290
QT78,2901
UL57,3744
TF94,3090
UN48,5068
ZR09,4062
AF30,4535
DU03,2901
UE97,2531
PH49,3726
NG91,3942
FO53,5082
YI79,2044
XQ44,2384
WD28,3378
MG48,5317
WF79,3628
GL02,1816
GN08,5075
EX24,1715
XY08,2389
QO73,2122
CI21,1821
AN16,2242
ZG65,4483
CC43,5040
IF87,4220
BI00,4460
ZW27,3141
LZ18,4172
UL47,2125
EJ87,2779
IS24,3664
VU88,3717
SS44,3004
YP69,3844
XD57,3040
UX46,4427
ET19,2081
UD04,3396
DP64,1564
UD30,1772
DR42,2309
AN06,2798
MY12,2613
YI33,1878
NK45,5206
UJ65,4065
XH44,3696
QR67,4293
BJ47,4176
NH02,4875
CQ83,3603
AA48,3935
BS50,4349
BV05,3742
LF30,2950
TG05,1821
CN20,3896
QW88,1218
ZM92,2169
JN53,3396
PK31,3277
AG70,1856
DQ89,3914
WD84,3079
PP39,4807
AM59,4414
DJ50,3001
TM26,4043
JU02,4815
UB56,3800
VQ29,5195
CX92,2739
XK35,1808
RO24,4240
BV26,1179
DB65,1144
CP26,3046
SR43,2794
BA72,5024
DO26,3483
BH43,4989
JT81,3744
HW16,4297
BW74,4577
KA48,2869
RG87,1261
DT69,1299
YL11,1509
PZ21,3935
WO04,5003
BU25,3803
PZ45,1161
KX62,1688
ZM23,5370
UT59,4040
OV24,2454
BT21,2968
OV12,3795
ZG13,2805
LU09,1477
BO94,3288
ZN48,3417
XJ52,4754
AI05,4158
SB57,2135
WC49,2137
BL38,2726
CZ00,4185
XC08,4473
YN23,1273
WO80,4754
FV72,4621
XE65,2628
PG97,1386
IE74,5279
YL49,4220
WI90,2723
AN76,1841
XW91,1741
BI94,4146
YY52,2628
WD42,3013
PK39,4315
TY76,3710
OY74,5262
IH79,4892
AL65,4168
DQ20,4155
