ORDER_ID,CUSTOMER_ID,PRODUCT_ID,ORDER_ITEM_QTY,REVIEW_RATING
4000094,1006724,3003675,20,
4000094,1006724,3005321,27,
4000094,1006724,3005805,21,
4000130,1008012,3007904,29,
4000130,1008012,3004905,22,
4000234,1006790,3000983,23,
4000234,1006790,3000769,20,
4000234,1006790,3008069,25,
4000396,1008012,3000983,29,
4000396,1008012,3009256,28,
4000396,1008012,3005328,22,
4000772,1008066,3000769,26,
4000772,1008066,3000983,21,
4000772,1008066,3005805,22,
4001141,1008066,3007904,25,
4001141,1008066,3003335,23,
4002517,1008012,3003335,28,
4002517,1008012,3005328,25,
4002517,1008012,3001691,30,
4002677,1006724,3003420,25,
4002677,1006724,3003675,26,
4002677,1006724,3005805,23,
4002749,1003027,3005360,30,
4002749,1003027,3009256,23,
4002749,1003027,3003335,20,
4002749,1003027,3005328,24,
4003008,1008066,3009256,22,
4003034,1001280,3003420,26,
4003034,1001280,3004696,22,
4003034,1001280,3004905,21,
4003617,1001280,3005805,21,
4003617,1001280,3008069,24,
4004275,1006790,3004696,23,
4004275,1006790,3004766,30,
4004275,1006790,3003420,20,
4004275,1006790,3007904,27,
4004312,1006790,3004905,30,
4004312,1006790,3001691,26,
4004312,1006790,3005321,21,
4005387,1008066,3009256,26,
4005387,1008066,3007904,28,
4005387,1008066,3003335,21,
4005509,1005337,3004905,20,
4005509,1005337,3005360,24,
4005509,1005337,3004696,29,
4005565,1003027,3004905,26,
4005565,1003027,3003675,20,
4005565,1003027,3005328,24,
4005565,1003027,3005360,23,
4005615,1006724,3005360,25,
4005615,1006724,3003675,28,
4006181,1008012,3000983,20,
4006181,1008012,3008069,24,
4006181,1008012,3005805,22,
4006403,1008012,3000769,27,
4006403,1008012,3005321,29,
4006403,1008012,3009256,23,
4007068,1006790,3005805,24,
4007068,1006790,3005328,24,
4007068,1006790,3000983,21,
4007068,1006790,3003335,23,
4007227,1005337,3009256,28,
4007227,1005337,3004766,20,
4007844,1005337,3003675,23,
4007844,1005337,3004905,27,
4007844,1005337,3009256,25,
4007844,1005337,3003335,25,
4008023,1006724,3003335,27,
4008023,1006724,3001691,20,
4008023,1006724,3007904,22,
4008526,1001280,3000983,29,
4008526,1001280,3003335,22,
4008526,1001280,3005805,27,
4008787,1003027,3009256,24,
4008787,1003027,3005328,21,
4008787,1003027,3003335,27,
4008787,1003027,3007904,28,
4009125,1001397,3005360,27,
4009125,1001397,3005321,28,
4009125,1001397,3005328,27,
4009572,1008132,3005360,20,
4009572,1008132,3003675,28,
4009572,1008132,3005328,24,
4009767,1005337,3008069,25,
4009767,1005337,3003675,27,
4009767,1005337,3000769,28,
4009767,1005337,3003420,25,
4009829,1001280,3005805,28,
4009829,1001280,3003335,20,
4009011,1000931,3000750,3,2
4001421,1000337,3000575,10,3
4005486,1000921,3000848,8,3
4006914,1000607,3000698,12,1
4000020,1000592,3000512,24,5
4002211,1000924,3000479,10,1
4001809,1000837,3000916,2,3
4003376,1000456,3000799,7,3
4004324,1000697,3000687,6,5
4001591,1000592,3000729,9,3
4004966,1000024,3000936,14,5
4009489,1000440,3000251,7,3
4000209,1000870,3000244,16,4
4003948,1000927,3000341,13,1
4006341,1000834,3000662,18,2
4007362,1000176,3000371,4,3
4002211,1000924,3000963,15,5
4001719,1000834,3000696,1,3
4000412,1000217,3000952,3,4
4000209,1000870,3000255,15,4
4004790,1000401,3000939,20,4
4003948,1000927,3000657,21,4
4000020,1000592,3000857,1,3
4006130,1000819,3000743,9,3
4007459,1000284,3000721,9,2
4001591,1000592,3000639,20,2
4000209,1000870,3000384,23,5
4003462,1000456,3000956,12,4
4004097,1000875,3000859,3,4
4004976,1000891,3000369,14,1
4004097,1000875,3000957,17,4
